complaint_text,category,priority
minor damage to a public bench in Residential Area. Residents need municipal assistance.,Other,Low
water pressure is slightly low in Near Park. Residents need municipal assistance.,Water,Low
water pressure is slightly low in School Road. Residents need municipal assistance.,Water,Low
water pressure is slightly low in Central Street. Residents need municipal assistance.,Water,Low
water pressure is slightly low in Near Park. Residents need municipal assistance.,Water,Low
water pressure is slightly low in Near Park. Residents need municipal assistance.,Water,Low
water pressure is slightly low in School Road. Residents need municipal assistance.,Water,Low
water pressure is slightly low in Near Park. Residents need municipal assistance.,Water,Low
water pressure is slightly low in Market Area. Residents need municipal assistance.,Water,Low
water pressure is slightly low in Central Street. Residents need municipal assistance.,Water,Low
water pressure is slightly low in Near Park. Residents need municipal assistance.,Water,Low
water pressure is slightly low in Central Street. Residents need municipal assistance.,Water,Low
water pressure is slightly low in Near Park. Residents need municipal assistance.,Water,Low
water pressure is slightly low in Block A. Residents need municipal assistance.,Water,Low
water pressure is slightly low in Residential Area. Residents need municipal assistance.,Water,Low
water pressure is slightly low in School Road. Residents need municipal assistance.,Water,Low
water pressure is slightly low in Block A. Residents need municipal assistance.,Water,Low
water pressure is slightly low in Central Street. Residents need municipal assistance.,Water,Low
water pressure is slightly low in Near Park. Residents need municipal assistance.,Water,Low
water pressure is slightly low in Market Area. Residents need municipal assistance.,Water,Low
water pressure is slightly low in Residential Area. Residents need municipal assistance.,Water,Low
several potholes are making driving difficult in School Road. Residents need municipal assistance.,Road,Medium
several potholes are making driving difficult in Block A. Residents need municipal assistance.,Road,Medium
several potholes are making driving difficult in Near Park. Residents need municipal assistance.,Road,Medium
several potholes are making driving difficult in School Road. Residents need municipal assistance.,Road,Medium
several potholes are making driving difficult in Main Road. Residents need municipal assistance.,Road,Medium
several potholes are making driving difficult in Central Street. Residents need municipal assistance.,Road,Medium
several potholes are making driving difficult in Block A. Residents need municipal assistance.,Road,Medium
several potholes are making driving difficult in Market Area. Residents need municipal assistance.,Road,Medium
several potholes are making driving difficult in Residential Area. Residents need municipal assistance.,Road,Medium
several potholes are making driving difficult in Residential Area. Residents need municipal assistance.,Road,Medium
several potholes are making driving difficult in Residential Area. Residents need municipal assistance.,Road,Medium
several potholes are making driving difficult in Residential Area. Residents need municipal assistance.,Road,Medium
several potholes are making driving difficult in Central Street. Residents need municipal assistance.,Road,Medium
several potholes are making driving difficult in School Road. Residents need municipal assistance.,Road,Medium
several potholes are making driving difficult in Market Area. Residents need municipal assistance.,Road,Medium
several potholes are making driving difficult in Central Street. Residents need municipal assistance.,Road,Medium
several potholes are making driving difficult in Central Street. Residents need municipal assistance.,Road,Medium
several potholes are making driving difficult in Central Street. Residents need municipal assistance.,Road,Medium
several potholes are making driving difficult in Market Area. Residents need municipal assistance.,Road,Medium
several potholes are making driving difficult in Central Street. Residents need municipal assistance.,Road,Medium
garbage has not been collected for three days in Main Road. Residents need municipal assistance.,Waste,Medium
garbage has not been collected for three days in Block A. Residents need municipal assistance.,Waste,Medium
garbage has not been collected for three days in Main Road. Residents need municipal assistance.,Waste,Medium
garbage has not been collected for three days in Main Road. Residents need municipal assistance.,Waste,Medium
garbage has not been collected for three days in Near Park. Residents need municipal assistance.,Waste,Medium
garbage has not been collected for three days in School Road. Residents need municipal assistance.,Waste,Medium
garbage has not been collected for three days in Central Street. Residents need municipal assistance.,Waste,Medium
garbage has not been collected for three days in Market Area. Residents need municipal assistance.,Waste,Medium
garbage has not been collected for three days in Main Road. Residents need municipal assistance.,Waste,Medium
garbage has not been collected for three days in Residential Area. Residents need municipal assistance.,Waste,Medium
garbage has not been collected for three days in Central Street. Residents need municipal assistance.,Waste,Medium
garbage has not been collected for three days in Block A. Residents need municipal assistance.,Waste,Medium
garbage has not been collected for three days in Main Road. Residents need municipal assistance.,Waste,Medium
garbage has not been collected for three days in Residential Area. Residents need municipal assistance.,Waste,Medium
garbage has not been collected for three days in Central Street. Residents need municipal assistance.,Waste,Medium
garbage has not been collected for three days in School Road. Residents need municipal assistance.,Waste,Medium
garbage has not been collected for three days in Market Area. Residents need municipal assistance.,Waste,Medium
garbage has not been collected for three days in School Road. Residents need municipal assistance.,Waste,Medium
garbage has not been collected for three days in School Road. Residents need municipal assistance.,Waste,Medium
garbage has not been collected for three days in Main Road. Residents need municipal assistance.,Waste,Medium
drain is partially blocked with standing water in Block A. Residents need municipal assistance.,Drainage,Medium
drain is partially blocked with standing water in Near Park. Residents need municipal assistance.,Drainage,Medium
drain is partially blocked with standing water in Residential Area. Residents need municipal assistance.,Drainage,Medium
drain is partially blocked with standing water in Residential Area. Residents need municipal assistance.,Drainage,Medium
drain is partially blocked with standing water in Near Park. Residents need municipal assistance.,Drainage,Medium
drain is partially blocked with standing water in Market Area. Residents need municipal assistance.,Drainage,Medium
drain is partially blocked with standing water in Market Area. Residents need municipal assistance.,Drainage,Medium
drain is partially blocked with standing water in Central Street. Residents need municipal assistance.,Drainage,Medium
drain is partially blocked with standing water in Central Street. Residents need municipal assistance.,Drainage,Medium
drain is partially blocked with standing water in Block A. Residents need municipal assistance.,Drainage,Medium
drain is partially blocked with standing water in Central Street. Residents need municipal assistance.,Drainage,Medium
drain is partially blocked with standing water in Market Area. Residents need municipal assistance.,Drainage,Medium
drain is partially blocked with standing water in Block A. Residents need municipal assistance.,Drainage,Medium
drain is partially blocked with standing water in Residential Area. Residents need municipal assistance.,Drainage,Medium
drain is partially blocked with standing water in School Road. Residents need municipal assistance.,Drainage,Medium
drain is partially blocked with standing water in Near Park. Residents need municipal assistance.,Drainage,Medium
drain is partially blocked with standing water in Central Street. Residents need municipal assistance.,Drainage,Medium
drain is partially blocked with standing water in School Road. Residents need municipal assistance.,Drainage,Medium
drain is partially blocked with standing water in School Road. Residents need municipal assistance.,Drainage,Medium
drain is partially blocked with standing water in Near Park. Residents need municipal assistance.,Drainage,Medium
water pressure remains poor in the neighborhood in Near Park. Residents need municipal assistance.,Water,Medium
water pressure remains poor in the neighborhood in Market Area. Residents need municipal assistance.,Water,Medium
water pressure remains poor in the neighborhood in Main Road. Residents need municipal assistance.,Water,Medium
water pressure remains poor in the neighborhood in Market Area. Residents need municipal assistance.,Water,Medium
water pressure remains poor in the neighborhood in Main Road. Residents need municipal assistance.,Water,Medium
water pressure remains poor in the neighborhood in Central Street. Residents need municipal assistance.,Water,Medium
water pressure remains poor in the neighborhood in Central Street. Residents need municipal assistance.,Water,Medium
water pressure remains poor in the neighborhood in Central Street. Residents need municipal assistance.,Water,Medium
water pressure remains poor in the neighborhood in Block A. Residents need municipal assistance.,Water,Medium
water pressure remains poor in the neighborhood in Near Park. Residents need municipal assistance.,Water,Medium
water pressure remains poor in the neighborhood in Market Area. Residents need municipal assistance.,Water,Medium
water pressure remains poor in the neighborhood in Near Park. Residents need municipal assistance.,Water,Medium
water pressure remains poor in the neighborhood in Main Road. Residents need municipal assistance.,Water,Medium
water pressure remains poor in the neighborhood in Block A. Residents need municipal assistance.,Water,Medium
water pressure remains poor in the neighborhood in Block A. Residents need municipal assistance.,Water,Medium
water pressure remains poor in the neighborhood in School Road. Residents need municipal assistance.,Water,Medium
water pressure remains poor in the neighborhood in Near Park. Residents need municipal assistance.,Water,Medium
water pressure remains poor in the neighborhood in Block A. Residents need municipal assistance.,Water,Medium
water pressure remains poor in the neighborhood in Residential Area. Residents need municipal assistance.,Water,Medium
water pressure remains poor in the neighborhood in School Road. Residents need municipal assistance.,Water,Medium
multiple streetlights are not working in Block A. Residents need municipal assistance.,Streetlight,Medium
multiple streetlights are not working in Central Street. Residents need municipal assistance.,Streetlight,Medium
multiple streetlights are not working in Block A. Residents need municipal assistance.,Streetlight,Medium
multiple streetlights are not working in Market Area. Residents need municipal assistance.,Streetlight,Medium
multiple streetlights are not working in Market Area. Residents need municipal assistance.,Streetlight,Medium
multiple streetlights are not working in Residential Area. Residents need municipal assistance.,Streetlight,Medium
multiple streetlights are not working in School Road. Residents need municipal assistance.,Streetlight,Medium
multiple streetlights are not working in Central Street. Residents need municipal assistance.,Streetlight,Medium
multiple streetlights are not working in Residential Area. Residents need municipal assistance.,Streetlight,Medium
multiple streetlights are not working in Market Area. Residents need municipal assistance.,Streetlight,Medium
multiple streetlights are not working in Residential Area. Residents need municipal assistance.,Streetlight,Medium
multiple streetlights are not working in Residential Area. Residents need municipal assistance.,Streetlight,Medium
multiple streetlights are not working in Main Road. Residents need municipal assistance.,Streetlight,Medium
multiple streetlights are not working in Residential Area. Residents need municipal assistance.,Streetlight,Medium
multiple streetlights are not working in Central Street. Residents need municipal assistance.,Streetlight,Medium
multiple streetlights are not working in Residential Area. Residents need municipal assistance.,Streetlight,Medium
multiple streetlights are not working in Block A. Residents need municipal assistance.,Streetlight,Medium
multiple streetlights are not working in Main Road. Residents need municipal assistance.,Streetlight,Medium
multiple streetlights are not working in Residential Area. Residents need municipal assistance.,Streetlight,Medium
multiple streetlights are not working in Market Area. Residents need municipal assistance.,Streetlight,Medium
road surface is damaged across one lane in Market Area. Residents need municipal assistance.,Road,Medium
road surface is damaged across one lane in Central Street. Residents need municipal assistance.,Road,Medium
road surface is damaged across one lane in Block A. Residents need municipal assistance.,Road,Medium
road surface is damaged across one lane in School Road. Residents need municipal assistance.,Road,Medium
road surface is damaged across one lane in Near Park. Residents need municipal assistance.,Road,Medium
road surface is damaged across one lane in School Road. Residents need municipal assistance.,Road,Medium
road surface is damaged across one lane in Block A. Residents need municipal assistance.,Road,Medium
road surface is damaged across one lane in Central Street. Residents need municipal assistance.,Road,Medium
road surface is damaged across one lane in Main Road. Residents need municipal assistance.,Road,Medium
road surface is damaged across one lane in School Road. Residents need municipal assistance.,Road,Medium
road surface is damaged across one lane in School Road. Residents need municipal assistance.,Road,Medium
road surface is damaged across one lane in School Road. Residents need municipal assistance.,Road,Medium
road surface is damaged across one lane in Main Road. Residents need municipal assistance.,Road,Medium
road surface is damaged across one lane in Market Area. Residents need municipal assistance.,Road,Medium
road surface is damaged across one lane in Near Park. Residents need municipal assistance.,Road,Medium
road surface is damaged across one lane in Main Road. Residents need municipal assistance.,Road,Medium
road surface is damaged across one lane in Main Road. Residents need municipal assistance.,Road,Medium
road surface is damaged across one lane in Central Street. Residents need municipal assistance.,Road,Medium
road surface is damaged across one lane in Block A. Residents need municipal assistance.,Road,Medium
road surface is damaged across one lane in Market Area. Residents need municipal assistance.,Road,Medium
large pothole is blocking most of the road in Near Park. Residents need municipal assistance.,Road,High
large pothole is blocking most of the road in Market Area. Residents need municipal assistance.,Road,High
large pothole is blocking most of the road in Residential Area. Residents need municipal assistance.,Road,High
large pothole is blocking most of the road in School Road. Residents need municipal assistance.,Road,High
large pothole is blocking most of the road in Main Road. Residents need municipal assistance.,Road,High
large pothole is blocking most of the road in Market Area. Residents need municipal assistance.,Road,High
large pothole is blocking most of the road in Near Park. Residents need municipal assistance.,Road,High
large pothole is blocking most of the road in Near Park. Residents need municipal assistance.,Road,High
large pothole is blocking most of the road in Central Street. Residents need municipal assistance.,Road,High
large pothole is blocking most of the road in Near Park. Residents need municipal assistance.,Road,High
large pothole is blocking most of the road in Residential Area. Residents need municipal assistance.,Road,High
large pothole is blocking most of the road in Central Street. Residents need municipal assistance.,Road,High
large pothole is blocking most of the road in Main Road. Residents need municipal assistance.,Road,High
large pothole is blocking most of the road in Central Street. Residents need municipal assistance.,Road,High
large pothole is blocking most of the road in School Road. Residents need municipal assistance.,Road,High
large pothole is blocking most of the road in Central Street. Residents need municipal assistance.,Road,High
large pothole is blocking most of the road in School Road. Residents need municipal assistance.,Road,High
large pothole is blocking most of the road in Main Road. Residents need municipal assistance.,Road,High
large pothole is blocking most of the road in Central Street. Residents need municipal assistance.,Road,High
large pothole is blocking most of the road in School Road. Residents need municipal assistance.,Road,High
major water pipe is leaking continuously in School Road. Residents need municipal assistance.,Water,High
major water pipe is leaking continuously in School Road. Residents need municipal assistance.,Water,High
major water pipe is leaking continuously in Central Street. Residents need municipal assistance.,Water,High
major water pipe is leaking continuously in Residential Area. Residents need municipal assistance.,Water,High
major water pipe is leaking continuously in Block A. Residents need municipal assistance.,Water,High
major water pipe is leaking continuously in Near Park. Residents need municipal assistance.,Water,High
major water pipe is leaking continuously in Main Road. Residents need municipal assistance.,Water,High
major water pipe is leaking continuously in School Road. Residents need municipal assistance.,Water,High
major water pipe is leaking continuously in School Road. Residents need municipal assistance.,Water,High
major water pipe is leaking continuously in Main Road. Residents need municipal assistance.,Water,High
major water pipe is leaking continuously in School Road. Residents need municipal assistance.,Water,High
major water pipe is leaking continuously in Market Area. Residents need municipal assistance.,Water,High
major water pipe is leaking continuously in Residential Area. Residents need municipal assistance.,Water,High
major water pipe is leaking continuously in Market Area. Residents need municipal assistance.,Water,High
major water pipe is leaking continuously in Main Road. Residents need municipal assistance.,Water,High
major water pipe is leaking continuously in Residential Area. Residents need municipal assistance.,Water,High
major water pipe is leaking continuously in Near Park. Residents need municipal assistance.,Water,High
major water pipe is leaking continuously in Central Street. Residents need municipal assistance.,Water,High
major water pipe is leaking continuously in Near Park. Residents need municipal assistance.,Water,High
major water pipe is leaking continuously in Central Street. Residents need municipal assistance.,Water,High
drainage is overflowing onto the street in Market Area. Residents need municipal assistance.,Drainage,High
drainage is overflowing onto the street in Residential Area. Residents need municipal assistance.,Drainage,High
drainage is overflowing onto the street in Residential Area. Residents need municipal assistance.,Drainage,High
drainage is overflowing onto the street in Main Road. Residents need municipal assistance.,Drainage,High
drainage is overflowing onto the street in Market Area. Residents need municipal assistance.,Drainage,High
drainage is overflowing onto the street in Market Area. Residents need municipal assistance.,Drainage,High
drainage is overflowing onto the street in Market Area. Residents need municipal assistance.,Drainage,High
drainage is overflowing onto the street in Block A. Residents need municipal assistance.,Drainage,High
drainage is overflowing onto the street in Main Road. Residents need municipal assistance.,Drainage,High
drainage is overflowing onto the street in Residential Area. Residents need municipal assistance.,Drainage,High
drainage is overflowing onto the street in Main Road. Residents need municipal assistance.,Drainage,High
drainage is overflowing onto the street in Block A. Residents need municipal assistance.,Drainage,High
drainage is overflowing onto the street in Residential Area. Residents need municipal assistance.,Drainage,High
drainage is overflowing onto the street in Market Area. Residents need municipal assistance.,Drainage,High
drainage is overflowing onto the street in Residential Area. Residents need municipal assistance.,Drainage,High
drainage is overflowing onto the street in School Road. Residents need municipal assistance.,Drainage,High
drainage is overflowing onto the street in Main Road. Residents need municipal assistance.,Drainage,High
drainage is overflowing onto the street in Central Street. Residents need municipal assistance.,Drainage,High
drainage is overflowing onto the street in Block A. Residents need municipal assistance.,Drainage,High
drainage is overflowing onto the street in School Road. Residents need municipal assistance.,Drainage,High
large amount of waste is blocking the road in Near Park. Residents need municipal assistance.,Waste,High
large amount of waste is blocking the road in School Road. Residents need municipal assistance.,Waste,High
large amount of waste is blocking the road in Near Park. Residents need municipal assistance.,Waste,High
large amount of waste is blocking the road in Residential Area. Residents need municipal assistance.,Waste,High
large amount of waste is blocking the road in Central Street. Residents need municipal assistance.,Waste,High
large amount of waste is blocking the road in School Road. Residents need municipal assistance.,Waste,High
large amount of waste is blocking the road in Block A. Residents need municipal assistance.,Waste,High
large amount of waste is blocking the road in Near Park. Residents need municipal assistance.,Waste,High
large amount of waste is blocking the road in Main Road. Residents need municipal assistance.,Waste,High
large amount of waste is blocking the road in Central Street. Residents need municipal assistance.,Waste,High
large amount of waste is blocking the road in Central Street. Residents need municipal assistance.,Waste,High
large amount of waste is blocking the road in Central Street. Residents need municipal assistance.,Waste,High
large amount of waste is blocking the road in Residential Area. Residents need municipal assistance.,Waste,High
large amount of waste is blocking the road in Central Street. Residents need municipal assistance.,Waste,High
large amount of waste is blocking the road in Market Area. Residents need municipal assistance.,Waste,High
large amount of waste is blocking the road in School Road. Residents need municipal assistance.,Waste,High
large amount of waste is blocking the road in Market Area. Residents need municipal assistance.,Waste,High
large amount of waste is blocking the road in School Road. Residents need municipal assistance.,Waste,High
large amount of waste is blocking the road in Market Area. Residents need municipal assistance.,Waste,High
large amount of waste is blocking the road in Market Area. Residents need municipal assistance.,Waste,High
road has severe cracks and vehicles cannot pass easily in Central Street. Residents need municipal assistance.,Road,High
road has severe cracks and vehicles cannot pass easily in Residential Area. Residents need municipal assistance.,Road,High
road has severe cracks and vehicles cannot pass easily in Near Park. Residents need municipal assistance.,Road,High
road has severe cracks and vehicles cannot pass easily in School Road. Residents need municipal assistance.,Road,High
road has severe cracks and vehicles cannot pass easily in Central Street. Residents need municipal assistance.,Road,High
road has severe cracks and vehicles cannot pass easily in Market Area. Residents need municipal assistance.,Road,High
road has severe cracks and vehicles cannot pass easily in Main Road. Residents need municipal assistance.,Road,High
road has severe cracks and vehicles cannot pass easily in Central Street. Residents need municipal assistance.,Road,High
road has severe cracks and vehicles cannot pass easily in Near Park. Residents need municipal assistance.,Road,High
road has severe cracks and vehicles cannot pass easily in Market Area. Residents need municipal assistance.,Road,High
road has severe cracks and vehicles cannot pass easily in Residential Area. Residents need municipal assistance.,Road,High
road has severe cracks and vehicles cannot pass easily in Central Street. Residents need municipal assistance.,Road,High
road has severe cracks and vehicles cannot pass easily in Near Park. Residents need municipal assistance.,Road,High
road has severe cracks and vehicles cannot pass easily in Residential Area. Residents need municipal assistance.,Road,High
road has severe cracks and vehicles cannot pass easily in Block A. Residents need municipal assistance.,Road,High
road has severe cracks and vehicles cannot pass easily in Near Park. Residents need municipal assistance.,Road,High
road has severe cracks and vehicles cannot pass easily in Block A. Residents need municipal assistance.,Road,High
road has severe cracks and vehicles cannot pass easily in School Road. Residents need municipal assistance.,Road,High
road has severe cracks and vehicles cannot pass easily in Central Street. Residents need municipal assistance.,Road,High
road has severe cracks and vehicles cannot pass easily in Block A. Residents need municipal assistance.,Road,High
power pole is badly damaged and needs urgent repair in Residential Area. Residents need municipal assistance.,Electricity,High
power pole is badly damaged and needs urgent repair in Near Park. Residents need municipal assistance.,Electricity,High
power pole is badly damaged and needs urgent repair in Main Road. Residents need municipal assistance.,Electricity,High
power pole is badly damaged and needs urgent repair in Near Park. Residents need municipal assistance.,Electricity,High
power pole is badly damaged and needs urgent repair in Main Road. Residents need municipal assistance.,Electricity,High
power pole is badly damaged and needs urgent repair in Central Street. Residents need municipal assistance.,Electricity,High
power pole is badly damaged and needs urgent repair in School Road. Residents need municipal assistance.,Electricity,High
power pole is badly damaged and needs urgent repair in Market Area. Residents need municipal assistance.,Electricity,High
power pole is badly damaged and needs urgent repair in School Road. Residents need municipal assistance.,Electricity,High
power pole is badly damaged and needs urgent repair in Main Road. Residents need municipal assistance.,Electricity,High
power pole is badly damaged and needs urgent repair in Market Area. Residents need municipal assistance.,Electricity,High
power pole is badly damaged and needs urgent repair in Near Park. Residents need municipal assistance.,Electricity,High
power pole is badly damaged and needs urgent repair in Central Street. Residents need municipal assistance.,Electricity,High
power pole is badly damaged and needs urgent repair in Residential Area. Residents need municipal assistance.,Electricity,High
power pole is badly damaged and needs urgent repair in Near Park. Residents need municipal assistance.,Electricity,High
power pole is badly damaged and needs urgent repair in Near Park. Residents need municipal assistance.,Electricity,High
power pole is badly damaged and needs urgent repair in Market Area. Residents need municipal assistance.,Electricity,High
power pole is badly damaged and needs urgent repair in Near Park. Residents need municipal assistance.,Electricity,High
power pole is badly damaged and needs urgent repair in Near Park. Residents need municipal assistance.,Electricity,High
power pole is badly damaged and needs urgent repair in Market Area. Residents need municipal assistance.,Electricity,High
exposed electrical wire is sparking near houses in Market Area. Residents need municipal assistance.,Electricity,Critical
exposed electrical wire is sparking near houses in Near Park. Residents need municipal assistance.,Electricity,Critical
exposed electrical wire is sparking near houses in Main Road. Residents need municipal assistance.,Electricity,Critical
exposed electrical wire is sparking near houses in Block A. Residents need municipal assistance.,Electricity,Critical
exposed electrical wire is sparking near houses in Market Area. Residents need municipal assistance.,Electricity,Critical
exposed electrical wire is sparking near houses in Block A. Residents need municipal assistance.,Electricity,Critical
exposed electrical wire is sparking near houses in Near Park. Residents need municipal assistance.,Electricity,Critical
exposed electrical wire is sparking near houses in Near Park. Residents need municipal assistance.,Electricity,Critical
exposed electrical wire is sparking near houses in Block A. Residents need municipal assistance.,Electricity,Critical
exposed electrical wire is sparking near houses in Main Road. Residents need municipal assistance.,Electricity,Critical
exposed electrical wire is sparking near houses in Main Road. Residents need municipal assistance.,Electricity,Critical
exposed electrical wire is sparking near houses in Near Park. Residents need municipal assistance.,Electricity,Critical
exposed electrical wire is sparking near houses in School Road. Residents need municipal assistance.,Electricity,Critical
exposed electrical wire is sparking near houses in Market Area. Residents need municipal assistance.,Electricity,Critical
exposed electrical wire is sparking near houses in Block A. Residents need municipal assistance.,Electricity,Critical
exposed electrical wire is sparking near houses in Near Park. Residents need municipal assistance.,Electricity,Critical
exposed electrical wire is sparking near houses in Central Street. Residents need municipal assistance.,Electricity,Critical
exposed electrical wire is sparking near houses in School Road. Residents need municipal assistance.,Electricity,Critical
exposed electrical wire is sparking near houses in Block A. Residents need municipal assistance.,Electricity,Critical
exposed electrical wire is sparking near houses in Main Road. Residents need municipal assistance.,Electricity,Critical
fallen electric cable is creating immediate danger in Block A. Residents need municipal assistance.,Electricity,Critical
fallen electric cable is creating immediate danger in Residential Area. Residents need municipal assistance.,Electricity,Critical
fallen electric cable is creating immediate danger in Main Road. Residents need municipal assistance.,Electricity,Critical
fallen electric cable is creating immediate danger in Main Road. Residents need municipal assistance.,Electricity,Critical
fallen electric cable is creating immediate danger in Residential Area. Residents need municipal assistance.,Electricity,Critical
fallen electric cable is creating immediate danger in Main Road. Residents need municipal assistance.,Electricity,Critical
fallen electric cable is creating immediate danger in Central Street. Residents need municipal assistance.,Electricity,Critical
fallen electric cable is creating immediate danger in Residential Area. Residents need municipal assistance.,Electricity,Critical
fallen electric cable is creating immediate danger in Block A. Residents need municipal assistance.,Electricity,Critical
fallen electric cable is creating immediate danger in Main Road. Residents need municipal assistance.,Electricity,Critical
fallen electric cable is creating immediate danger in Near Park. Residents need municipal assistance.,Electricity,Critical
fallen electric cable is creating immediate danger in Central Street. Residents need municipal assistance.,Electricity,Critical
fallen electric cable is creating immediate danger in Main Road. Residents need municipal assistance.,Electricity,Critical
fallen electric cable is creating immediate danger in Market Area. Residents need municipal assistance.,Electricity,Critical
fallen electric cable is creating immediate danger in Central Street. Residents need municipal assistance.,Electricity,Critical
fallen electric cable is creating immediate danger in Residential Area. Residents need municipal assistance.,Electricity,Critical
fallen electric cable is creating immediate danger in School Road. Residents need municipal assistance.,Electricity,Critical
fallen electric cable is creating immediate danger in Central Street. Residents need municipal assistance.,Electricity,Critical
